Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DHI Perez Units,DNI Units,DNI Perez Units,GHI Units,GHI Perez Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed,Snow Depth Units,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Version
SUNY,13719,-,-,India,23.95,71.15,5.5,0,5.5,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,m,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,unknown
Year,Month,Day,Hour,Minute,DHI,DNI,GHI,Clearsky DHI,Clearsky DNI,Clearsky GHI,Dew Point,Temperature,Pressure,Relative Humidity,Solar Zenith Angle,Precipitable Water,Snow Depth,Wind Direction,Wind Speed,Fill Flag,,,,,,,,,,,,,,
2008,1,1,0,30,0,0,0,0,0,0,0,17.0430681834,1013.1148071289,29.6342894412,175.6056073817,1.0201318541,0,29.9728088379,4.0471968651,0,,,,,,,,,,,,,,
2008,1,1,1,30,0,0,0,0,0,0,0,16.2470396789,1012.6065673828,31.547406068,170.4997335722,1.0221497445,0,34.4885559082,3.8606073856,0,,,,,,,,,,,,,,
2008,1,1,2,30,0,0,0,0,0,0,0,15.4954663805,1011.98046875,33.5579002898,156.8019756059,1.0176705363,0,37.8725967407,3.7585597038,0,,,,,,,,,,,,,,
2008,1,1,3,30,0,0,0,0,0,0,0,14.7952283587,1011.8909912109,35.7085813748,143.151164803,1.0096781873,0,39.3614959717,3.7173228264,0,,,,,,,,,,,,,,
2008,1,1,4,30,0,0,0,0,0,0,0,14.162308783,1012.0225830078,37.8361242997,129.6127292917,1.0064618206,0,41.3313827515,3.6739432812,0,,,,,,,,,,,,,,
2008,1,1,5,30,0,0,0,0,0,0,-3,8.3408125805,1012.4993286133,44.6665513851,116.191898121,0.6331328847,0,16.7354354858,3.7582790852,0,,,,,,,,,,,,,,
2008,1,1,6,30,0,0,0,0,0,0,-2,7.8198801645,1013.3768310547,47.8521516495,103.1101304003,0.6476410267,0,16.2445602417,3.6603212357,0,,,,,,,,,,,,,,
2008,1,1,7,30,0,0,0,1,0,1,-1,8.6227678729,1014.286315918,47.6640262565,90.4322399903,0.6583800737,0,14.1332015991,3.5577976704,0,,,,,,,,,,,,,,
2008,1,1,8,30,86,261,139,85,331,152,-2,11.3814371733,1015.3041381836,39.2300803992,78.3895333937,0.6619132514,0,11.2858581543,3.1056528091,0,,,,,,,,,,,,,,
2008,1,1,9,30,144,484,331,138,568,357,0,15.2521091306,1015.4751586914,33.0699973253,67.3183333216,0.6478076586,0,6.5995559692,2.7784461975,0,,,,,,,,,,,,,,
2008,1,1,10,30,178,590,493,168,692,537,-1,19.7221323019,1015.4474487305,23.9654100386,57.7990645784,0.6277349948,0,1.6719741821,2.9907879829,0,,,,,,,,,,,,,,
2008,1,1,11,30,221,582,590,185,756,663,-3,23.0926827269,1014.2487792969,16.7616895222,50.7237213798,0.6124935557,0,0.5161972046,3.6196808815,0,,,,,,,,,,,,,,
2008,1,1,12,30,231,611,647,192,782,723,-4,25.0020605751,1013.2083129883,13.5972128979,47.2111738691,0.5941373436,0,359.6927490234,3.8917050362,0,,,,,,,,,,,,,,
2008,1,1,13,30,236,576,622,190,778,711,-5,25.5498382233,1011.9012451172,12.8902201743,48.0522236961,0.572603486,0,357.4420776367,3.8776130676,0,,,,,,,,,,,,,,
